dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
BirdChicken,cpu_optimised_hydra,42,20,20,512,2,0.06859887501923367,0.0,0.9,0.898989898989899,0.898989898989899,ok,,
BME,cpu_optimised_hydra,42,30,150,128,3,0.19464154200977646,0.6389760000001843,1.0,1.0,1.0,ok,,
Car,cpu_optimised_hydra,42,60,60,577,4,0.22687237500213087,0.34406399999988935,0.9333333333333333,0.9333333333333333,0.9322222222222223,ok,,
CBF,cpu_optimised_hydra,42,30,900,128,3,0.9815259170136414,0.1310719999999037,0.9911111111111112,0.9911146057129357,0.9910999628390932,ok,,
Chinatown,cpu_optimised_hydra,42,20,343,24,2,0.07213870799751021,11.649024000000054,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,
ChlorineConcentration,cpu_optimised_hydra,42,467,3840,166,3,6.911522624985082,-88.03123200000005,0.7747395833333334,0.7335042722127398,0.7656484000455609,ok,,
CinCECGTorso,cpu_optimised_hydra,42,40,1380,1639,4,7.959023208008148,-136.69171199999982,0.994927536231884,0.9948987114395265,0.9949325745411756,ok,,
Coffee,cpu_optimised_hydra,42,28,28,286,2,0.126083084003767,-2.7197439999999915,1.0,1.0,1.0,ok,,
Computers,cpu_optimised_hydra,42,250,250,720,2,1.2568285000161268,-334.3155199999999,0.712,0.7113349156456475,0.7113349156456474,ok,,
CricketX,cpu_optimised_hydra,42,390,390,300,12,2.669915291975485,-80.23244799999998,0.8128205128205128,0.8137635758583562,0.8084028776395153,ok,,
CricketY,cpu_optimised_hydra,42,390,390,300,12,2.586378625012003,-61.37446399999999,0.823076923076923,0.825695307994446,0.8233736003233526,ok,,
CricketZ,cpu_optimised_hydra,42,390,390,300,12,2.568928833003156,-50.921471999999994,0.8,0.7861281400244713,0.7963029001522246,ok,,
Crop,cpu_optimised_hydra,42,7200,16800,46,24,14.883943083987106,1599.6026880000002,0.7358928571428571,0.728758985260488,0.7287589852604881,ok,,
DiatomSizeReduction,cpu_optimised_hydra,42,16,306,345,4,0.3486251670110505,44.49894399999994,0.9477124183006536,0.9337479311329479,0.9467795436582144,ok,,
